event,x_pos,y_pos,z_pos,trk_index
0,86.63884523289805,132.5952341902246,0.0,1
0,51.99626081668747,71.96943472133518,-8.5,1
0,17.350648768433235,11.325432375869111,-17.0,1
0,141.95988389250667,39.26031342316401,0.0,2
0,3.2568539349359384,56.924777503654525,-17.0,2
0,13.687749342691856,141.9274864237411,0.0,3
0,67.75902430078546,132.87458379370156,-8.5,3
0,121.83154935909124,123.81365996276789,-17.0,3
1,4.121200690206893,1.8176205317367589,0.0,1
1,53.91704488396935,2.3109483031713105,-8.5,1
1,103.71336569047652,2.796858495209984,-17.0,1
1,42.0845681107405,114.4117849161932,0.0,2
1,41.072407100444835,81.04375231363517,-8.5,2
1,40.06133407958188,47.657478288256165,-17.0,2
1,92.72522473364963,123.83034747562382,0.0,3
1,58.416960490243355,87.77819740035592,-8.5,3
1,24.089633880295846,51.70378536262613,-17.0,3
2,148.93697177686784,52.62334408183189,0.0,1
2,126.41852885985017,42.8604532153036,-8.5,1
2,72.64245549672445,2.477993215165,0.0,2
2,39.009211336914916,74.93281488284266,-8.5,2
2,5.332554866942847,147.38248196682147,-17.0,2
2,81.71228225748952,16.086118440967045,0.0,3
2,73.6370329911307,41.56492185645185,-8.5,3
3,109.69036118071853,19.342906865913776,0.0,1
3,78.450019024869,16.25994295400241,-8.5,1
3,47.209017773312524,13.17783262596766,-17.0,1
3,104.03396450996777,3.136730109882906,0.0,2
3,81.09128401654387,40.36801750487469,-8.5,2
3,58.14899330802082,77.58497565646996,-17.0,2
3,33.22944738717487,29.70118063313798,0.0,3
3,85.83056285724672,16.269004127713274,-8.5,3
3,138.41821375761305,2.815847372815322,-17.0,3
4,64.48210179307492,98.89268405228262,-8.5,1
4,90.9895846389993,127.79534883956748,-17.0,1
4,50.70758971967376,114.6693952017434,0.0,2
4,51.54421094798462,88.98518443766088,-8.5,2
4,52.38242337689059,63.30342275833844,-17.0,2
4,7.8418633472747565,77.59233167810481,0.0,3
4,30.579057365893384,111.14535204463031,-8.5,3
4,53.30763251568141,144.6892423206632,-17.0,3
5,113.2481162944088,40.288562091859305,0.0,1
5,67.89688806639046,93.91178948393164,-8.5,1
5,22.558007008948152,147.51972098798765,-17.0,1
5,44.469101023430326,87.42371672423431,0.0,2
5,54.60352332255293,53.57375232090312,-8.5,2
5,64.72097083290676,19.739563633814274,-17.0,2
5,40.632563782435156,19.95485895511833,0.0,3
5,48.067589473479565,43.43742363891351,-8.5,3
6,83.9101930957248,114.46213438252626,0.0,1
6,57.884115828147756,58.19238210258129,-8.5,1
6,31.864614441729447,1.925616309229575,-17.0,1
6,88.9084822894854,55.31814609723668,0.0,2
6,98.70789273114667,97.68874063128992,-8.5,2
6,108.4779856034354,140.07161745883684,-17.0,2
6,43.917743981411185,125.64242240196734,0.0,3
6,81.52631921056785,84.31582592973906,-8.5,3
6,119.1314466540456,42.977221446117284,-17.0,3
7,62.06873293225978,37.41597258915195,0.0,1
7,79.5789224787119,22.581604650722078,-8.5,1
7,97.082258390342,7.759755935873401,-17.0,1
7,135.02915315007363,144.33766146054057,0.0,2
7,126.75993834051431,98.92675445253981,-8.5,2
7,118.51470597138916,53.52192462519468,-17.0,2
7,81.9964181330303,142.2809279767681,0.0,3
7,76.23922911929844,121.26722027305888,-8.5,3
8,111.53554586340645,4.869582287440979,0.0,1
8,107.55324413897608,22.766684286762786,-8.5,1
8,103.57630888653664,40.680521340588236,-17.0,1
8,84.19273280082996,40.63607940041677,0.0,2
8,106.2728665820336,37.957738734792954,-8.5,2
8,128.33253288779403,35.28768551986625,-17.0,2
8,64.32750816370152,5.493826033193368,0.0,3
8,54.06552414765429,3.8268014541929425,-8.5,3
8,43.79836710436005,2.166756986757782,-17.0,3
9,126.57955002769337,7.675359639724448,0.0,1
9,130.17061132134248,5.646110496760929,-8.5,1
9,133.74141467809966,3.6269572048113545,-17.0,1
9,136.0198672751719,23.704668360869498,0.0,2
9,73.1825358128643,81.76123352200787,-8.5,2
9,9.493055319326045,79.57264196879207,0.0,3
9,75.55999591448195,84.04536717840205,-8.5,3
